id,name,personality_1,personality_2,likes
233,多邊獸Ⅱ,獨特,神秘,將行星的開發納入視野，以當時的最新技術升級了多邊獸。
234,驚角鹿,神秘,獨特,形狀怪異的犄角蘊含迷惑他人之力。從角上脫落的黑珠在磨碎後可以入藥，用以治療失眠。
235,圖圖犬,神秘,獨特,從尾巴尖端滲出的體液會隨著圖圖犬的情緒變化而出現不同的顏色。
236,無畏小子,神秘,獨特,無論何時都充滿活力。為了變強，就算輸了一次又一次，也會不斷重新站起來迎戰對手。
237,戰舞郎,獨特,神秘,會透過倒立來擾亂對方的節奏，然後趁隙施展華麗的踢擊。
238,迷唇娃,冷靜,保守,只要稍微弄髒了臉，就會馬上去用水沖乾淨。但對於身體的髒污似乎就不太在意。
239,電擊怪,獨特,神秘,聽到打雷的聲音就會很高興。如果能先把打雷的聲音錄下來，當牠心情低落的時候會很好用。
240,鴨嘴寶寶,熱情,衝動,當火焰像打開水龍頭似地不停從鼻子冒出來時，就代表牠感冒了。這時就讓牠待在熔岩裡休息吧。
241,大奶罐,獨特,神秘,牠的牛奶營養豐富且熱量很高。如果飲用過量的話就會變成大奶罐般的體型。
242,幸福蛋,神秘,獨特,只要吃了據說飽含著幸福的幸福蛋的蛋，無論多麼殘暴的寶可夢都會變得溫馴。
243,雷公,獨特,神秘,體內蘊藏著雷電般速度的寶可夢。牠的長嚎就像天雷落地一般，能震動空氣，搖撼大地。
244,炎帝,熱情,衝動,體內蘊藏著熔岩般熱情的寶可夢。被認為是從火山的爆發中誕生，能噴出燃盡一切的火焰。
245,水君,冷靜,保守,體內蘊藏著泉水般溫柔的寶可夢。會用滑行般的動作在大地上奔跑，有著淨化濁水的力量。
246,幼基拉斯,神秘,獨特,靠著土中的營養長大。當吃下大約一座山那麼多的土壤之後，牠就會變成蛹。
247,沙基拉斯,獨特,神秘,等不及進化，就會用壓縮氣體四處亂飛大鬧來抒解壓力，是種令人頭痛的寶可夢。
248,班基拉斯,獨特,神秘,擁有無論遭受任何攻擊都能毫髮無傷的身體，因此會不斷向對手挑戰。
249,洛奇亞,獨特,神秘,有著只要輕輕揮動翅膀就能吹走房屋的破壞力，因此躲在不為人知的海底生活。
250,鳳王,獨特,神秘,據說在不同角度的光線照射下，會閃耀七彩光芒的羽毛能帶來幸福。據說牠住在彩虹的腳下。
251,時拉比,獨特,神秘,從未來穿越時光而來。能夠治癒傷痛，也會把自己的力量分給草木。
252,木守宮,神秘,獨特,能夠用腳底的小刺鉤住垂直的牆壁攀爬。會甩動粗粗的尾巴擊打對手。
253,森林蜥蜴,獨特,神秘,靠著身上長出的葉子，可以方便地在森林裡隱藏身形躲避敵人。是生活在密林裡的爬樹高手。
254,蜥蜴王,神秘,獨特,據說背上的種子裡儲存著許多能讓樹木生機盎然的營養。是會小心培育林中樹木的寶可夢。
255,火稚雞,神秘,獨特,會緊貼著訓練家搖搖晃晃地走路。能從嘴裡噴出攝氏１０００度的灼熱火球把對手燒焦。
256,力壯雞,神秘,獨特,會在山野間跑來跑去鍛鍊腳力。能用兼具速度和力量的腿在１秒內連踢１０次。
257,火焰雞,熱情,衝動,有著強韌的下盤，連３０層大樓都能輕鬆躍過。會用火焰拳把對手燒焦。
258,水躍魚,冷靜,保守,在水中會用臉頰上的腮呼吸。如果遇到危險，就會發揮出能擊碎比自己身體還大的岩石的力量。
259,沼躍魚,神秘,獨特,為了讓自己可以在地面上生活，牠的身體表面包覆著一層薄薄的黏膜。會在退潮後的海岸邊玩泥巴。
260,巨沼怪,冷靜,保守,這種寶可夢有著能輕鬆拖動１噸以上岩石的力量。視力好到在混濁的水中也能看清。
261,土狼犬,神秘,獨特,什麼都吃的雜食性寶可夢。跟體型相比顯得特別大的牙齒是牠的特徵。會將尾巴上的毛豎起來威嚇敵人。
262,大狼犬,神秘,獨特,當牠發出兇猛的吼聲並壓低身體時，就是牠準備發動攻擊的前兆。會用鋒利的尖牙一口咬住對手。
263,蛇紋熊,神秘,獨特,會用背上的硬毛摩擦樹木，留下代表自己地盤的標記。性情比伽勒爾的蛇紋熊溫馴。
264,直衝熊,神秘,獨特,用自己超群的爆發力和銳利的爪子來制服獵物。不擅長在彎曲的道路上奔跑。
265,刺尾蟲,危險,謹慎,會把尾部的刺對準想捉自己當食物的大王燕進行抵抗。能用滲出的毒來削弱對方。
266,甲殼繭,獨特,神秘,為了不讓自己掉落，將絲線纏在樹枝上支撐身體並等待著進化。會從小洞觀察外面的狀況。
267,狩獵鳳蝶,神秘,獨特,圓圓捲起的長長嘴巴像針一樣，在採集花粉時非常方便。會乘著春風四處採集花粉。
268,盾甲繭,獨特,神秘,盾甲繭的身體是由口中吐出的細絲包裹身體後硬化形成的。牠會在繭裡準備進化。
269,毒粉蛾,危險,謹慎,有著被燈光吸引的習性。被路燈引誘的毒粉蛾群會把行道樹上的葉子吃得一塌糊塗。
270,蓮葉童子,冷靜,保守,因為葉子長得太大太重，所以才會改變習性，漂浮在水面上生活。
271,蓮帽小童,冷靜,保守,住在日照充足的水邊。白天在水草做的床上睡覺，太陽下山後就會出來活動。
272,樂天河童,獨特,神秘,樂天河童會跟著歡快的音樂搖擺身體，藉而增強自己的力量。
273,橡實果,神秘,獨特,會將頭頂黏在樹枝上懸掛著。也有被大風吹落的時候。
274,長鼻葉,獨特,神秘,棲息在森林深處。會用頭上的葉子做成笛子，吹出令人感到不安的音色。
275,狡猾天狗,獨特,神秘,在森林深處靜靜地生活。據說當牠搧動大大的團扇，就會刮起冬日寒風。
276,傲骨燕,獨特,神秘,由於才剛剛離巢，所以到了晚上有時會因為太寂寞而哭出來。以捕捉住在森林裡的刺尾蟲為食。
277,大王燕,神秘,獨特,會盤旋在遙遠的高空，發現獵物後就會俯衝而下，用腳爪緊緊抓住獵物令其無法逃脫。
278,長翅鷗,神秘,獨特,空心的骨頭是為了保持輕盈。用大大的翅膀迎著風，飛向浩瀚的天空。
279,大嘴鷗,神秘,獨特,會把小型寶可夢裝進牠那脹鼓鼓的鳥嘴中運送，但沒人知道會被牠帶到哪裡去。
280,拉魯拉絲,神秘,獨特,用紅色的角感知到人和寶可夢的溫情後，全身也會變得有點暖暖的。
281,奇魯莉安,獨特,神秘,能夠操縱精神力量來扭曲周圍的空間，讓自己看見未來。
282,沙奈朵,獨特,神秘,有著預知未來的能力。在保護訓練家的時候，會發揮出最強的力量。
283,溜溜糖球,冷靜,保守,在水面像滑行一樣移動。偶爾會為了爭奪食物而和滴蛛打架。
284,雨翅蛾,神秘,獨特,翅膀和觸角很怕濕氣。雨後會朝著太陽的方向曬乾身體。
285,蘑蘑菇,獨特,神秘,棲息在森林深處潮濕的地面上。經常一動不動地待在落葉下面。以落葉堆積起來後形成的腐葉土為食。
286,斗笠菇,神秘,獨特,會用輕巧的步法接近敵人，然後用能伸縮的手臂出拳。有著能令拳擊手汗顏的技術。
287,懶人獺,獨特,神秘,心臟每分鐘只跳動１次。因為是只會一直趴著不動的寶可夢，所以幾乎沒有機會看到牠動的樣子。
288,過動猿,神秘,獨特,一直在蠢蠢欲動，想要大鬧一番。甚至連１分鐘都坐不住。如果不動就會累積壓力。
289,請假王,神秘,獨特,刻在草原上半徑１公尺的圓圈，是請假王躺在地上吃光了身邊的草之後形成的。
290,土居忍士,神秘,獨特,因為長時間生活在地底下，所以眼睛幾乎什麼都看不到。會靠觸角來探察周圍的狀況。
291,鐵面忍者,獨特,神秘,一直聽牠的叫聲會讓人頭痛不止。會以肉眼無法看清的速度移動。
292,脫殼忍者,獨特,神秘,不拍動翅膀也能四處飛行。身體裡面空空的，是一種不呼吸的奇妙寶可夢。
293,咕妞妞,神秘,獨特,叫聲的音量會超過１００分貝。要是被牠在近距離大叫，就會一整天都會頭痛不止。
294,吼爆彈,獨特,神秘,耳朵具有擴音器的功能。會從耳朵發射出威力足以震飛一棟房子的音波。
295,爆音怪,神秘,獨特,以前的人曾利用爆音怪的大吼聲，作為與遙遠城鎮彼此聯絡的方法。
296,幕下力士,神秘,獨特,最早是從其他地區被帶到這裡來的，但現在阿羅拉的幕下力士比較有名。
297,鐵掌力士,獨特,神秘,雖然喜歡和對手比力氣，但心地善良且注重禮儀，會慰勞與自己對戰的對手。
298,露力麗,獨特,神秘,尾巴的球狀部分能像皮球那樣彈跳，裡面滿滿都是牠在成長時所需的營養。
299,朝北鼻,神秘,獨特,朝北鼻鼻子上的磁鐵絕對不會失靈，所以是訓練家旅行時的良伴。
300,向尾喵,神秘,獨特,會追著自己尾巴到處跑的寶可夢。野生的向尾喵生活在森林中的樹洞裡。有著可愛臉蛋的牠是很受歡迎的寵物。
301,優雅貓,獨特,神秘,過著居無定所生活的寶可夢。即使有其他寶可夢接近自己睡覺的地方也絕不會去爭鬥，而會換個地方睡覺。
302,勾魂眼,神秘,獨特,會用堅硬的爪子挖土，並用粗壯的獠牙啃食寶石。最喜歡吃小碎鑽。
303,大嘴娃,神秘,獨特,聰明又狡猾，可怕的寶可夢。會用可愛的動作使對手掉以輕心，然後出其不意地用大顎一口吞下。
304,可可多拉,神秘,獨特,進化時身上的鋼鐵盔甲會脫落。以前的人會把它撿起來用在生活上。
305,可多拉,獨特,神秘,會互相碰撞身體來爭奪地盤。仔細看牠的鋼鐵盔甲，就會發現有傷痕及凹痕。
306,波士可多拉,獨特,神秘,古時候有位國王將自己的頭盔製作成波士可多拉頭部的樣子，期盼為自己帶來像牠的強大力量。
307,瑪沙那,神秘,獨特,在深山裡進行著瑜伽修行。總是會在冥想的途中分心，所以修行一直無法結束。
308,恰雷姆,獨特,神秘,據說會透過冥想讓體內的能量提升，並讓第六感變得更加敏銳。會和山野融為一體來消除自己的氣息。
309,落雷獸,神秘,獨特,會讓長長的體毛互相摩擦，藉此在全身儲存靜電。是種以速度為傲的寶可夢。
310,雷電獸,神秘,獨特,在不自然的雷雲之下有著雷電獸的身影。據說牠奔馳的速度和雷電一樣快。
311,正電拍拍,神秘,獨特,總是在為夥伴加油的寶可夢。當夥伴努力加油的時候，牠會讓身體短路，發出劈哩啪啦的火花聲來表達自己的喜悅。
312,負電拍拍,獨特,神秘,比起自己來，為夥伴加油更重要。會讓體內發出的電流短路，一邊發出華麗的火花一邊為夥伴加油。
313,電螢蟲,獨特,神秘,太陽下山後就會讓尾巴發光，透過亮度或閃爍來和夥伴對話。會被甜甜螢的甜甜香氣吸引。
314,甜甜螢,獨特,神秘,會誘導電螢蟲描繪記號。據說記號描繪得越複雜的甜甜螢，就越會受到夥伴的尊敬。
315,毒薔薇,危險,謹慎,會用右手和左手分別施放２種不同的毒來進行攻擊。香氣越濃越有活力。
316,溶食獸,獨特,神秘,因為整個身體幾乎都是胃，所以能吞下和自己一樣大的東西。能用特殊的胃液消化任何東西。
317,吞食獸,危險,謹慎,發現獵物時會把毛孔中噴出的劇毒體液灑向對手。等獵物變得虛弱時再張開大嘴一口吞掉。
318,利牙魚,神秘,獨特,個性膽小，只有１隻的話連狩獵也不敢去，但如果聚集了５隻左右就會一下子變得兇暴。
319,巨牙鯊,神秘,獨特,在過去，牠的背鰭被當作貴重的食材，因此有著被濫捕的悲慘歷史。
320,吼吼鯨,冷靜,保守,很喜歡嚇人。會喝海水把肚子撐得跟球一樣來玩彈跳遊戲。
321,吼鯨王,神秘,獨特,因為會吃掉太多的魚寶可夢，一旦牠們的數量增加得太多，就會遭到漁夫們的驅趕。
322,呆火駝,冷靜,保守,體內儲存著１２００度的熔岩。一旦被水淋濕，熔岩就會凝固變重，動作也會因此變得遲緩。
323,噴火駝,獨特,神秘,體內有著火山的寶可夢。會不時會從背上的駝峰裡噴出體內儲存的攝氏１萬度的熔岩。
324,煤炭龜,獨特,神秘,煤炭是牠的能量來源。在煤炭龜棲息著的山裡，沉睡著大量的煤炭。
325,跳跳豬,獨特,神秘,戴在頭上的珍珠有提高跳跳豬精神力量的功效。一直在尋找大珍珠。
326,噗噗豬,獨特,神秘,利用黑珍珠使出奇異力量的時候，會跳起奇妙的舞步。黑珍珠有著藝術品的價值。
327,晃晃斑,獨特,神秘,雖然走路總是搖搖晃晃歪七扭八的，但晃晃斑自己是打算要筆直走路的哦。
328,大顎蟻,神秘,獨特,重量十足的下顎足以粉碎岩石，一旦身子翻過去就爬不起來，黑眼鱷會趁這個空檔襲擊牠。
329,超音波幼蟲,神秘,獨特,２片翅膀高速振動產生的超音波會引起劇烈的頭痛。
330,沙漠蜻蜓,神秘,獨特,揮動翅膀的振翅聲簡直有如歌聲。凡是被這聲音迷惑的，最終會被捲入沙暴成為沙漠蜻蜓的食物。
331,刺球仙人掌,神秘,獨特,棲息在乾燥少雨的地方。黃色的花朵每年綻放１次。
332,夢歌仙人掌,神秘,獨特,棲息在沙漠。一到晚上就會開始活動，去捕捉因受不了沙漠的炎熱而精疲力盡的獵物。
333,青綿鳥,神秘,獨特,看起來就像是團綿雲，因此不易被敵人發現。據說牠的翅膀是在一代代的演變下成為白色的。
334,七夕青鳥,獨特,神秘,會一邊在天空中悠然飛翔，一邊哼唱出令人心醉神迷的美妙旋律。
335,貓鼬斬,獨特,神秘,和飯匙蛇是死對頭。一旦撞見彼此，就會立刻張開前腳的爪子來威嚇對方。
336,飯匙蛇,神秘,獨特,總是用岩石打磨尾巴上的刀刃，所以刀刃非常鋒利。和貓鼬斬是死對頭。
337,月石,神秘,獨特,在４０年前隕石墜落的地點第一次被發現。瞪一眼就能使敵人沉睡。
338,太陽岩,神秘,獨特,當牠旋轉自己的身體時，會發出太陽般的光芒，讓敵人的眼睛暫時失明。
339,泥泥鰍,神秘,獨特,全身黏黏滑滑的，就算被鳥寶可夢啄到，也可以馬上滑開溜走。
340,鯰魚王,獨特,神秘,只要是會動的東西，無論什麼都會咬住不放大吃特吃。平常會靜靜埋伏在沼澤底部動也不動地等待著獵物。
341,龍蝦小兵,獨特,神秘,培育到一半就被訓練家放生的個體越來越多，如今在阿羅拉也能經常見到。
342,鐵螯龍蝦,神秘,獨特,性情粗暴愛打架，然而一旦鉗子掉落就會馬上變得軟弱，在重新長出之前都會提心吊膽。
343,天秤偶,獨特,神秘,用單腳一邊旋轉一邊移動。有時候也能看到顛倒過來旋轉的天秤偶。
344,念力土偶,獨特,神秘,似乎是由２萬年前的古代人製作的泥偶蛻變而來的謎之寶可夢。
345,觸手百合,獨特,神秘,曾經生活在古代的溫暖海洋中。會偽裝成海草，埋伏著等待獵物，在獵物靠近時一口吞下。
346,搖籃百合,獨特,神秘,雖然腳短且走得慢，但脖子和觸手能伸長３倍去捕捉在遠處的獵物。
347,太古羽蟲,獨特,神秘,從化石復原而來的寶可夢。曾經生活在大約１億年前的大海，用２隻爪子捕捉獵物。
348,太古盔甲,獨特,神秘,從海裡搬到了陸地上生活。根據了解，牠是一部份蟲寶可夢的祖先。
349,醜醜魚,神秘,獨特,因為破破爛爛的，誰也不會去捉牠。因為看起來很難吃，所以不會被當成獵物。於是數量就變得越來越多了。
350,美納斯,神秘,獨特,也被稱為最美的寶可夢，一直以來帶給了藝術家無數靈感。
351,飄浮泡泡,神秘,獨特,細胞會靈敏地反應氣溫和濕度，導致樣子不由自主地變化。
352,變隱龍,神秘,獨特,就算是在不需要隱身的時候，體色也會隨心情和身體狀態而改變。顏色越濃代表牠越有活力。
353,怨影娃娃,神秘,獨特,因為會吞食怨恨、嫉妒之類的情感，對某些人來說是很可貴的寶可夢。
354,詛咒娃娃,獨特,神秘,怨念附在被丟棄的玩偶上，不斷尋找著丟棄自己的人，想要為自己報仇。
355,夜巡靈,獨特,神秘,會讓身體變透明，然後偷偷地靠近獵物。擁有穿過厚牆壁的能力。
356,彷徨夜靈,獨特,神秘,身體內部是空的。只要一張開嘴就會像黑洞一樣吸入所有東西。
357,熱帶龍,神秘,獨特,棲息在阿羅拉的熱帶龍脖子上的果實比其他地區的更甜，簡直美味到了極點。
358,風鈴鈴,獨特,神秘,發出的空氣波動威力大到足以擊倒身高超過自己的獵物。據推測這是牠將微弱的風聲在體內增幅後的結果。
359,阿勃梭魯,神秘,獨特,牠只有外表看起來不吉祥。其實牠會幫忙守護田地，還會在災害發生時發出警告，是種對人們很有助益的寶可夢。
360,小果然,獨特,神秘,具有集體行動的習性。睡覺的時候會在洞窟中和夥伴們把身體挨在一起。
361,雪童子,獨特,神秘,只能在寒冷的土地上生存。即使在零下１００度的環境下也能充滿活力地到處蹦蹦跳跳哦。
362,冰鬼護,獨特,神秘,會把獵物凍住後整個拿來啃，但最愛吃的還是迷你冰之類原本就已經結凍的寶可夢。
363,海豹球,神秘,獨特,會漂浮在波浪間探查周圍的狀況。一旦發現獵物，就會通知群體的帝牙海獅。
364,海魔獅,神秘,獨特,在浮冰上生活。能夠一邊游泳一邊嗅出獵物的氣味，把對方找出來獵捕。
365,帝牙海獅,神秘,獨特,會由２、３０隻群居生活。受到敵人攻擊時，首領會奮不顧身地保護群體。
366,珍珠貝,獨特,神秘,別看牠長這樣，牠可是肉食性的。會用２片外殼牢牢夾住獵物，直到獵物完全不動了才會放開。
367,獵斑魚,獨特,神秘,棲息在深海中。傳說如果有獵斑魚被沖上沙灘，就會有不好的事發生。
368,櫻花魚,冷靜,保守,體色會隨著水溫而變化，阿羅拉的櫻花魚呈現著耀眼奪目的鮮豔色彩。
369,古空棘魚,神秘,獨特,曾被認為已經絕種。古空棘魚名字的由來是取自發現者的名字。
370,愛心魚,神秘,獨特,變成只有獨自１隻的愛心魚會變得無精打采而破綻處處。於是就被大嘴鷗趁機叼走了。
371,寶貝龍,獨特,神秘,每當見到飛在天空上的鳥寶可夢，牠就會羨慕到用頭錘把周圍的東西砸得粉碎。
372,甲殼龍,神秘,獨特,一動不動地潛伏在洞穴深處，不吃也不喝。不知為何不會死掉。
373,暴飛龍,獨特,神秘,一生氣就會忘記自我，把周圍都破壞掉。破壞會持續不斷，直到暴飛龍精疲力盡。
374,鐵啞鈴,獨特,神秘,細胞全部是磁鐵。會使用磁力和夥伴之間進行交流。
375,金屬怪,獨特,神秘,會從２個大腦發射出強大的精神能量，藉此封鎖獵物的行動。
376,巨金怪,獨特,神秘,２隻金屬怪連結起來。透過４個腦袋的同步處理，只要一瞬間就可完成任何的計算。
377,雷吉洛克,獨特,神秘,全身所有部分都是由岩石構成。即使身體有磨損，也能自己補上岩石修復。
378,雷吉艾斯,獨特,神秘,能操控降至零下２００度的寒氣，將靠近牠的東西都在一瞬間就冰封起來。
379,雷吉斯奇魯,獨特,神秘,據說牠誕生於地底的地幔中，並且在大約１萬年前出現在地表。
380,拉帝亞斯,神秘,獨特,能敏銳地感知人心。一旦察覺到敵意就會豎起全身羽毛，用激烈的叫聲威嚇對方。
381,拉帝歐斯,神秘,獨特,只對心地善良的人友善。折起前肢能減少空氣阻力，在空中能飛得比噴射機還快。
382,蓋歐卡,獨特,神秘,利用自然能量進行原始回歸，回到了原本的樣子。擁有呼風喚雨擴張海洋的力量。
383,固拉多,神秘,獨特,被認為是大地化身的寶可夢。傳說中牠為了尋求自然的能量，曾不斷與蓋歐卡爭鬥。
384,烈空坐,神秘,獨特,據說已經生存了數億年。世上留存著牠調解了固拉多與蓋歐卡之間爭鬥的傳說。
385,基拉祈,神秘,獨特,每１０００年讓牠聽一次清澈的歌聲，就能讓牠維持７天的清醒。
386,代歐奇希斯,冷靜,保守,誕生自宇宙病毒的寶可夢。擁有很高的智慧，會操控超能力。從胸部的水晶體發射出雷射光。
387,草苗龜,獨特,神秘,陽光越是照耀，活力越是充沛。形似甲殼的部分質地近似泥沙，觸感濕潤且帶有微溫。
388,樹林龜,冷靜,保守,生活在森林中的水邊。白天會去森林的外面，讓甲殼上的樹木曬曬太陽。
389,土台龜,冷靜,保守,擁有形如雋麗林園般的巨軀，且是力大無窮的強者。為尋求淨水而巡遍山野。
390,小火焰猴,獨特,神秘,活力十足，時時刻刻都充滿鬥志。自古被人們稱為「臀點燈」，當成鬼怪的一種恐懼著。
391,猛火猴,熱情,衝動,能熟練地控制尾部火焰的火勢，以自己擅長的距離進行戰鬥。
392,烈焰猴,熱情,衝動,性格像頭上燃燒的火焰般激烈。在速度方面沒有任何寶可夢可以匹敵。
393,波加曼,獨特,神秘,喜愛寒冷，會出現在海邊。外表如孩童般可愛，但心高氣傲，不願接受來自人類的施捨。
394,波皇子,獨特,神秘,從不結交夥伴，獨自生活。用翅膀發出的強烈一擊能把大樹劈成兩半。
395,帝王拿波,獨特,神秘,被洗翠的居民稱為波濤之主，自古便受到崇拜的寶可夢。其雙翼足以匹敵名匠打造的利器。
396,姆克兒,獨特,神秘,為了獵捕蟲寶可夢，以龐大的群體在山野間飛來飛去。叫聲非常吵鬧。
397,姆克鳥,神秘,獨特,心知肚明自己的弱小，所以平時都是群體生活。單獨行動時會發出吵鬧的叫聲。
398,姆克鷹,獨特,神秘,獲得了離開群體獨力生存的能力。就連壯漢也能一把攫起帶走的飛行能力是一大威脅。
399,大牙狸,獨特,神秘,遇到任何事都不慌不忙，神經很大條的傢伙。能做出與外表不相稱的靈敏動作。
400,大尾狸,冷靜,保守,用樹幹和泥巴築起水壩，堵住河流建造住所。以勤勞而聞名。
401,圓法師,獨特,神秘,每當腳短短的牠快要跌倒時，堅硬的觸角就會互相摩擦，發出如木琴般的聲響。
402,音箱蟀,獨特,神秘,透過讓聲音在身體裡的空洞迴響，自己的叫聲就可以變得清脆悅耳。
403,小貓怪,神秘,獨特,能利用肌肉的伸縮來產生電流。當牠全身都在抖動時，就代表牠正在激烈地發電。
404,勒克貓,神秘,獨特,遇見敵人時會從腳伸出有百萬伏特威力的爪子，為對戰做好準備。
405,倫琴貓,神秘,獨特,擁有透視能力的寶可夢。能夠在眨眼間就發現躲在厚厚牆壁另一側的獵物。
406,含羞苞,冷靜,保守,會散佈帶有毒素的花粉。培育時所用的水越乾淨，所含有的毒性就越高。
407,羅絲雷朵,神秘,獨特,會用馥郁芬芳的花香迷惑敵人，並用荊棘上的鞭子猛力抽打對方。
408,頭蓋龍,神秘,獨特,太古時代的寶可夢。擁有堅硬而結實的頭蓋骨，但是頭腦相當不靈光。
409,戰槌龍,獨特,神秘,反復使出頭錘的頭蓋骨變得又硬又厚。但腦容量比起頭蓋龍有所縮減。
410,盾甲龍,獨特,神秘,多虧那張結實的臉，牠的敵人應該不多。棲息在太古時代的叢林裡。
411,護城龍,神秘,獨特,如果是從正面的話，可以防住所有的攻擊，但從後方遇襲的話就束手無策了。
412,結草兒,獨特,神秘,蓑衣只要稍有缺損，就會立即用身邊的材料加以修補。蓑衣內的身體十分細瘦且畏懼寒冷。
413,結草貴婦,獨特,神秘,草木製成的蓑衣與本體融合，如同體毛或皮膚般成為了身體的一部分。據考察這乃是進化能量帶來的作用。
414,紳士蛾,獨特,神秘,夜裡會活躍地飛來飛去，從睡著的三蜜蜂的巢穴裡搶奪蜂蜜後逃走。
415,三蜜蜂,獨特,神秘,３隻一直都在一起，但每一隻對花蜜的喜好卻略有不同。
416,蜂女王,神秘,獨特,能釋放越多費洛蒙的蜂女王，就能讓越多的三蜜蜂聽從自己的指揮。
417,帕奇利茲,神秘,獨特,有時候可以見到為了將儲存的電力分給同伴而互相摩擦頰囊的帕奇利茲。
418,泳圈鼬,冷靜,保守,會轉動分岔的尾巴形成推進力，藉此在水中自在移動。偶然的是，此構造與蒸汽船的螺旋槳十分相似。
419,浮潛鼬,冷靜,保守,膨脹起浮囊後就能讓人坐在自己背上。排出浮囊的氣來潛水。
420,櫻花寶,神秘,獨特,身體越紅的櫻花寶含有的營養越豐富，味道也很甜很好吃。
421,櫻花兒,神秘,獨特,花苞形態時性情穩重，幾乎不會動，只是靜靜地等待太陽光的出現。
422,無殼海兔,獨特,神秘,岩岸是牠主要的居所。根據棲息地的環境和所吃食物的質地，顏色和樣子會有所不同。
423,海兔獸,神秘,獨特,再生能力很高。即使被魚寶可夢咬斷也會在幾小時內恢復原狀哦。
424,雙尾怪手,神秘,獨特,為了搶佔舒適好住的樹木，不斷與投擲猴群爭奪地盤，但結果是雙方勢均力敵。
425,飄飄球,獨特,神秘,圓滾滾的身體裡塞滿了靈魂，每當牠把誰給帶走時，身體就會更加膨脹。
426,隨風球,獨特,神秘,曾經發生過乘著隨風球出發旅行的男人就這樣失蹤的事件。
427,捲捲耳,神秘,獨特,手腳的力量很弱，但如果使勁伸長緊緊捲起的耳朵，就連大岩石也能粉碎。
428,長耳兔,神秘,獨特,每年會換２次毛。用這種毛製成的圍巾和帽子非常保暖。
429,夢妖魔,神秘,獨特,因為也會施加實現戀愛願望的咒語，所以也有不惜性命尋找夢妖魔的人。
430,烏鴉頭頭,神秘,獨特,絕不會容忍失敗或背叛的手下。這是為了維持群體的秩序，而不得不用的手段。
431,魅力喵,神秘,獨特,一不高興就會豎起爪子。但有時也會從喉嚨發出聲響來撒嬌。這樣的性格很受部分人的喜愛。
432,東施喵,獨特,神秘,即使是其他寶可夢的住所，如果感覺很舒服的話，就會當成自己的住所賴著不走。
433,鈴鐺響,神秘,獨特,每次跳躍都會發出鈴鈴聲。用高頻率的叫聲讓對手失去聽力。
434,臭鼬噗,獨特,神秘,要是牠翹起尾巴把屁股對準了你，請一定要小心。因為這表示牠將要噴出足以讓人窒息的臭液。
435,坦克臭鼬,神秘,獨特,從尾巴尖端噴出的液體帶有強烈的惡臭。會在地面上挖洞建造巢穴。
436,銅鏡怪,獨特,神秘,會在古老的遺跡出現。身上的紋路不屬於伽勒爾文化，因此至今仍然謎團重重。
437,青銅鐘,神秘,獨特,牠身上的紋路讓許多學者認為牠原本並不存在於伽勒爾。
438,盆才怪,冷靜,保守,會從眼睛排出水分。因為看起來就像是在哭，似乎也有讓敵人疏忽大意的效果。
439,魔尼尼,神秘,獨特,會拼命模仿對方的動作和表情，但還算不上模仿得很好。
440,小福蛋,神秘,獨特,性情溫馴的寶可夢，但如果肚子上的圓形石頭被搶走，就會哭著大吵大鬧。
441,聒噪鳥,獨特,神秘,會發出與對手相同的叫聲，讓對方相信自己是同伴，藉此避免遭到襲擊。
442,花岩怪,神秘,獨特,１０８個靈魂聚集在一起成為了寶可夢，但其中似乎混進了壞心眼的靈魂。
443,圓陸鯊,神秘,獨特,潛伏在地洞內，如果有獵物或敵人經過，就會撲出來咬住。有時會用力過猛而咬壞牙齒。
444,尖牙陸鯊,神秘,獨特,最喜歡閃閃發光的東西。會一直呆在巢穴裡盯著寶石和捕捉到的小碎鑽。
445,烈咬陸鯊,獨特,神秘,頭上長著的２個突起物是作為感應器的用途。就連遠處獵物的狀況也能察覺。
446,小卡比獸,獨特,神秘,一旦找到看起來能吃的東西，就不管三七二十一先撿起來吞了。所以就這麼一天天地變胖起來。
447,利歐路,獨特,神秘,以「波導」這種波的形式觀察人和寶可夢的感情，以及自然的樣子。
448,路卡利歐,神秘,獨特,能察覺到１公里外生物的種類和心情。操縱波導以群體形式狩獵。
449,沙河馬,神秘,獨特,主要在白天活動。因為沙漠的夜晚會降溫，所以會鑽進沙子的深處睡覺。
450,河馬獸,神秘,獨特,生氣的時候非常凶暴。會噴出儲存在體內的沙子來引發沙塵暴。
451,鉗尾蠍,危險,謹慎,用尾巴上帶毒的鉤爪襲擊對手。一旦被夾住，毒素就會擴散開來，導致全身無法動彈。
452,龍王蠍,獨特,神秘,雖然猙獰凶猛到被人們稱為沙之惡魔，但在河馬獸面前卻表現得低調溫順。
453,不良蛙,危險,謹慎,會從自己臉頰上的毒囊發出聲音來威嚇對手，趁對手畏懼的時候使出毒擊。
454,毒骷蛙,獨特,神秘,制服了獵物之後，便會呱呱地發出勝利的歡呼。與蟾蜍王是相近的物種。
455,尖牙籠,獨特,神秘,以散發甜甜香氣的唾液吸引獵物，再用大顎一口咬住。會花上一整天吃掉獵物。
456,螢光魚,獨特,神秘,用２枚尾鰭活力充沛地跳躍。跳出海面的那一刻，會被長翅鷗叼走。
